primary_type,date,latitude,longitude
THEFT,2025-03-17 00:00:00,41.991994198,-87.67333819
CRIMINAL DAMAGE,2025-03-17 00:00:00,41.772814361,-87.688358507
MOTOR VEHICLE THEFT,2025-03-17 00:00:00,41.921816249,-87.720316305
NARCOTICS,2025-03-17 00:00:00,41.724689408,-87.62753229
OFFENSE INVOLVING CHILDREN,2025-03-17 00:00:00,41.813069461,-87.69557746
THEFT,2025-03-17 00:00:00,41.927963441,-87.64480573
STALKING,2025-03-17 00:00:00,41.951039812,-87.831762466
DECEPTIVE PRACTICE,2025-03-17 00:00:00,41.907153315,-87.639680572
NARCOTICS,2025-03-17 00:00:00,41.842241391,-87.695141061
MOTOR VEHICLE THEFT,2025-03-17 00:00:00,41.871860452,-87.707157461
THEFT,2025-03-17 00:00:00,41.751186527,-87.671948159
CRIMINAL DAMAGE,2025-03-17 00:00:00,41.976583711,-87.770928859
NARCOTICS,2025-03-17 00:00:00,41.829938209,-87.627936736
THEFT,2025-03-17 00:00:00,41.824523488,-87.607193465
MOTOR VEHICLE THEFT,2025-03-16 23:59:00,41.976290414,-87.905227221
OTHER OFFENSE,2025-03-16 23:39:00,41.905543395,-87.69078236
MOTOR VEHICLE THEFT,2025-03-16 23:33:00,41.699946159,-87.618139382
CRIMINAL DAMAGE,2025-03-16 23:30:00,41.824523488,-87.607193465
THEFT,2025-03-16 23:26:00,41.709763852,-87.648988638
ASSAULT,2025-03-16 23:25:00,41.79523709,-87.6670471
BURGLARY,2025-03-16 23:20:00,41.753032445,-87.565044333
BATTERY,2025-03-16 23:10:00,41.691389864,-87.712158434
ASSAULT,2025-03-16 23:06:00,41.820982288,-87.601400234
THEFT,2025-03-16 23:00:00,41.924416977,-87.654791085
SEX OFFENSE,2025-03-16 23:00:00,41.935133761,-87.750307474
MOTOR VEHICLE THEFT,2025-03-16 23:00:00,42.000421732,-87.662471633
THEFT,2025-03-16 23:00:00,41.769049288,-87.576378338
THEFT,2025-03-16 22:55:00,41.882133861,-87.682776518
BATTERY,2025-03-16 22:45:00,41.847156055,-87.707552576
BATTERY,2025-03-16 22:38:00,41.688056153,-87.639824245
THEFT,2025-03-16 22:35:00,41.949185259,-87.646312499
CRIMINAL SEXUAL ASSAULT,2025-03-16 22:35:00,41.909300888,-87.681159825
BATTERY,2025-03-16 22:30:00,41.975773105,-87.705103499
CRIMINAL TRESPASS,2025-03-16 22:30:00,41.962062939,-87.659590791
MOTOR VEHICLE THEFT,2025-03-16 22:30:00,41.890085343,-87.717369473
CRIMINAL DAMAGE,2025-03-16 22:30:00,41.746505465,-87.646348607
WEAPONS VIOLATION,2025-03-16 22:29:00,41.755104853,-87.642932797
BATTERY,2025-03-16 22:25:00,41.770191176,-87.6417153
ASSAULT,2025-03-16 22:20:00,41.783020354,-87.620549828
NARCOTICS,2025-03-16 22:16:00,41.81123307,-87.697968974
NARCOTICS,2025-03-16 22:11:00,41.894565725,-87.718725809
OTHER OFFENSE,2025-03-16 22:05:00,41.892661339,-87.631154879
BATTERY,2025-03-16 22:03:00,41.760718451,-87.649147576
CRIMINAL DAMAGE,2025-03-16 22:01:00,41.854739667,-87.707775978
BATTERY,2025-03-16 22:00:00,41.765564594,-87.578131109
BATTERY,2025-03-16 22:00:00,41.70991675,-87.622193006
MOTOR VEHICLE THEFT,2025-03-16 22:00:00,41.918774472,-87.744742852
CRIMINAL DAMAGE,2025-03-16 22:00:00,41.776104575,-87.602182026
THEFT,2025-03-16 22:00:00,41.97013634,-87.669474765
CRIMINAL DAMAGE,2025-03-16 22:00:00,41.991609395,-87.671800876
ASSAULT,2025-03-16 22:00:00,41.848287123,-87.693682602
ASSAULT,2025-03-16 22:00:00,41.798063743,-87.734325718
CRIMINAL DAMAGE,2025-03-16 22:00:00,41.857906209,-87.62191033
CRIMINAL DAMAGE,2025-03-16 21:53:00,41.75191443,-87.647716532
THEFT,2025-03-16 21:50:00,41.945910991,-87.655474824
THEFT,2025-03-16 21:45:00,41.891678767,-87.627551654
ASSAULT,2025-03-16 21:37:00,41.736543497,-87.545818607
WEAPONS VIOLATION,2025-03-16 21:36:00,41.829265828,-87.606798638
BATTERY,2025-03-16 21:35:00,41.72560982,-87.569342116
ASSAULT,2025-03-16 21:30:00,41.754480777,-87.584480414
MOTOR VEHICLE THEFT,2025-03-16 21:30:00,41.675364868,-87.638218142
BATTERY,2025-03-16 21:30:00,41.857742124,-87.669680389
BATTERY,2025-03-16 21:30:00,41.80237456,-87.666030576
BATTERY,2025-03-16 21:26:00,41.876541001,-87.629253085
ASSAULT,2025-03-16 21:26:00,41.771625588,-87.706113367
THEFT,2025-03-16 21:25:00,41.968234567,-87.728571616
BATTERY,2025-03-16 21:21:00,41.851148452,-87.718638761
ROBBERY,2025-03-16 21:20:00,41.72984137,-87.653160816
BATTERY,2025-03-16 21:13:00,42.012812446,-87.664475673
THEFT,2025-03-16 21:11:00,41.917656022,-87.688750258
ROBBERY,2025-03-16 21:10:00,41.969159427,-87.649837624
BATTERY,2025-03-16 21:05:00,41.70991675,-87.622193006
ASSAULT,2025-03-16 21:01:00,41.748058925,-87.662166583
BATTERY,2025-03-16 21:00:00,41.952749159,-87.71164914
ASSAULT,2025-03-16 21:00:00,41.765025476,-87.576275351
THEFT,2025-03-16 21:00:00,41.893842714,-87.62422959
THEFT,2025-03-16 21:00:00,41.883500187,-87.627876698
THEFT,2025-03-16 21:00:00,41.867789309,-87.659861997
THEFT,2025-03-16 21:00:00,41.910572729,-87.671785941
CRIMINAL DAMAGE,2025-03-16 21:00:00,41.698462836,-87.541343712
ASSAULT,2025-03-16 21:00:00,41.96104936,-87.719616845
BATTERY,2025-03-16 20:57:00,41.763396489,-87.643573336
BATTERY,2025-03-16 20:53:00,41.807994429,-87.667377089
OTHER OFFENSE,2025-03-16 20:47:00,41.938400369,-87.779894424
NARCOTICS,2025-03-16 20:44:00,41.890852209,-87.718621845
ASSAULT,2025-03-16 20:44:00,41.888969704,-87.716583236
CRIMINAL DAMAGE,2025-03-16 20:38:00,41.876541001,-87.629253085
BATTERY,2025-03-16 20:30:00,41.823544256,-87.639229947
BATTERY,2025-03-16 20:30:00,41.881215793,-87.75753629
MOTOR VEHICLE THEFT,2025-03-16 20:30:00,41.868532561,-87.662600424
OTHER OFFENSE,2025-03-16 20:21:00,41.74844067,-87.626964365
ASSAULT,2025-03-16 20:20:00,41.820579224,-87.688459065
WEAPONS VIOLATION,2025-03-16 20:17:00,41.962291,-87.658239
THEFT,2025-03-16 20:10:00,41.778340981,-87.703122242
MOTOR VEHICLE THEFT,2025-03-16 20:04:00,41.9603617,-87.776354951
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.925980147,-87.754870316
THEFT,2025-03-16 20:00:00,41.789247208,-87.62188894
OTHER OFFENSE,2025-03-16 20:00:00,41.938743235,-87.640782775
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.756767255,-87.595155761
THEFT,2025-03-16 20:00:00,41.981867808,-87.655854904
BATTERY,2025-03-16 20:00:00,41.777922956,-87.593014081
MOTOR VEHICLE THEFT,2025-03-16 20:00:00,41.975773105,-87.705103499
THEFT,2025-03-16 20:00:00,41.751295659,-87.555309535
