primary_type,date,latitude,longitude,temperature,humidity,wind_speed
DECEPTIVE PRACTICE,2025-03-08 00:00:00,41.736798357,-87.654578627,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-08 00:00:00,41.901438088,-87.752079758,0.97,72,0.45
BATTERY,2025-03-08 00:00:00,41.852571947,-87.725712905,0.97,72,0.45
OTHER OFFENSE,2025-03-08 00:00:00,41.658159346,-87.613496976,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-08 00:00:00,41.766946791,-87.57632241,0.97,72,0.45
OFFENSE INVOLVING CHILDREN,2025-03-08 00:00:00,41.777838294,-87.615566126,0.97,72,0.45
THEFT,2025-03-08 00:00:00,41.975729415,-87.654989539,0.97,72,0.45
THEFT,2025-03-08 00:00:00,41.863642218,-87.627331436,0.97,72,0.45
THEFT,2025-03-08 00:00:00,41.926752802,-87.642448526,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-08 00:00:00,41.745324922,-87.601380733,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-08 00:00:00,41.939596414,-87.64438656,0.97,72,0.45
BATTERY,2025-03-07 23:54:00,41.97008868,-87.762690091,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 23:51:00,41.872765826,-87.707115579,0.97,72,0.45
BATTERY,2025-03-07 23:50:00,41.880966348,-87.706741745,0.97,72,0.45
BATTERY,2025-03-07 23:35:00,41.792980746,-87.677925125,0.97,72,0.45
ASSAULT,2025-03-07 23:35:00,41.714499875,-87.559764047,0.97,72,0.45
BATTERY,2025-03-07 23:30:00,41.801893026,-87.69280188,0.97,72,0.45
ASSAULT,2025-03-07 23:30:00,41.950104268,-87.650401487,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 23:30:00,41.908628201,-87.670079367,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 23:30:00,41.777350057,-87.637462563,0.97,72,0.45
NARCOTICS,2025-03-07 23:25:00,41.781595812,-87.615659881,0.97,72,0.45
THEFT,2025-03-07 23:25:00,41.751839536,-87.645287587,0.97,72,0.45
BATTERY,2025-03-07 23:19:00,41.751771745,-87.563245313,0.97,72,0.45
THEFT,2025-03-07 23:15:00,41.943108594,-87.649366085,0.97,72,0.45
OTHER OFFENSE,2025-03-07 23:14:00,41.953527155,-87.757154271,0.97,72,0.45
BATTERY,2025-03-07 23:11:00,41.769070498,-87.626668445,0.97,72,0.45
THEFT,2025-03-07 23:10:00,41.896704284,-87.626346662,0.97,72,0.45
BURGLARY,2025-03-07 23:01:00,41.866184544,-87.724361483,0.97,72,0.45
BATTERY,2025-03-07 23:00:00,41.884808053,-87.756450067,0.97,72,0.45
ASSAULT,2025-03-07 23:00:00,41.72802938,-87.662840357,0.97,72,0.45
PUBLIC PEACE VIOLATION,2025-03-07 23:00:00,41.872497397,-87.710742126,0.97,72,0.45
BURGLARY,2025-03-07 23:00:00,41.89998654,-87.71890157,0.97,72,0.45
THEFT,2025-03-07 23:00:00,41.801893026,-87.69280188,0.97,72,0.45
NARCOTICS,2025-03-07 23:00:00,41.908436744,-87.692421212,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 22:46:00,41.67712508,-87.621803711,0.97,72,0.45
BATTERY,2025-03-07 22:45:00,41.929420671,-87.669511228,0.97,72,0.45
BATTERY,2025-03-07 22:40:00,41.954537863,-87.65114825,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 22:38:00,41.81511207,-87.67242808,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 22:37:00,41.74070143,-87.604939815,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 22:34:00,41.785390363,-87.634222283,0.97,72,0.45
THEFT,2025-03-07 22:30:00,41.877497517,-87.760316286,0.97,72,0.45
THEFT,2025-03-07 22:30:00,41.899880145,-87.716459894,0.97,72,0.45
BATTERY,2025-03-07 22:29:00,41.84528672,-87.622127226,0.97,72,0.45
ASSAULT,2025-03-07 22:29:00,41.856581054,-87.719985296,0.97,72,0.45
ASSAULT,2025-03-07 22:26:00,41.838509873,-87.686433211,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 22:20:00,41.707756212,-87.580708771,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 22:20:00,41.876071995,-87.687670168,0.97,72,0.45
OTHER OFFENSE,2025-03-07 22:16:00,41.879869431,-87.685127584,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 22:14:00,41.739427398,-87.663461946,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 22:12:00,41.795111477,-87.67190382,0.97,72,0.45
THEFT,2025-03-07 22:11:00,41.939566852,-87.724623088,0.97,72,0.45
OTHER OFFENSE,2025-03-07 22:05:00,41.895003278,-87.62152816,0.97,72,0.45
THEFT,2025-03-07 22:00:00,41.962853615,-87.783219984,0.97,72,0.45
CRIMINAL SEXUAL ASSAULT,2025-03-07 22:00:00,41.873219626,-87.675868666,0.97,72,0.45
