primary_type,date,latitude,longitude,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NARCOTICS,2025-03-19 00:00:00,41.86741335,-87.695926092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-19 00:00:00,41.976290414,-87.905227221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.797348638,-87.624157454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.793731105,-87.624065316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEPTIVE PRACTICE,2025-03-19 00:00:00,41.671641702,-87.642921313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL SEXUAL ASSAULT,2025-03-19 00:00:00,41.895002822,-87.621454706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT,2025-03-19 00:00:00,41.885888079,-87.627942238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-19 00:00:00,41.97852489,-87.836589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:57:00,41.862422995,-87.626313277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 23:52:00,41.873968788,-87.625987769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:45:00,41.974473519,-87.809826125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 23:41:00,41.969243509,-87.760494984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY,2025-03-18 23:30:00,41.803518035,-87.59672465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 23:30:00,41.749476996,-87.603528681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:30:00,41.774210511,-87.590552872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMICIDE,2025-03-18 23:27:00,41.769185486,-87.625732415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL TRESPASS,2025-03-18 23:26:00,41.874493357,-87.71446062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 23:23:00,41.91654447,-87.702061981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARCOTICS,2025-03-18 23:19:00,41.866373508,-87.708451909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY,2025-03-18 23:09:00,41.764209513,-87.683228721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 23:06:00,41.855524939,-87.6978538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:04:00,41.772972076,-87.644610871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:00:00,41.808500903,-87.616562762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 23:00:00,41.975773105,-87.705103499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE THEFT,2025-03-18 23:00:00,41.945900793,-87.764824648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEFT,2025-03-18 23:00:00,41.779618724,-87.653822953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL SEXUAL ASSAULT,2025-03-18 23:00:00,41.782140877,-87.686167814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,2025-03-18 22:48:00,41.760361887,-87.58617869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL DAMAGE,2025-03-18 22:42:00,41.705535387,-87.701310527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,2025-03-18 22:41:00,41.803515121,-87.743044463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
